ds,yhat,yhat_lower,yhat_upper
2017-04-04,13828.314114555707,12265.054709168606,15326.270842885579
2017-04-05,13718.727991454032,12238.937278725465,15218.693841473607
2017-04-06,13677.10242845948,12216.162087427825,15128.026745820925
2017-04-07,13359.6516822855,11796.644645970104,14764.353330183514
2017-04-08,12114.93707133599,10613.390871776146,13712.284681718533
2017-04-09,11631.10594890154,10160.335193020026,13194.241989882776
2017-04-10,13191.716820226215,11673.187677447753,14713.813292732433
2017-04-11,13379.127302561745,11833.343499811785,14835.829122680801
2017-04-12,13269.945787928431,11763.991887852797,14754.058408154122
2017-04-13,13234.991227781187,11717.110638955588,14826.008828088112
2017-04-14,12930.626163863157,11497.051078395565,14445.436935449085
2017-04-15,11705.35578269163,10137.504574674362,13242.432335298097
2017-04-16,11247.068704724394,9717.234811956121,12713.41677678399
2017-04-17,12838.87032304959,11262.219643379502,14401.710977631967
2017-04-18,13062.48513460387,11515.845492179187,14551.560791203992
2017-04-19,12993.72847805238,11566.404827117674,14458.266190355902
2017-04-20,13002.491476423556,11356.497785830688,14613.822317965096
2017-04-21,12744.103530536835,11210.027578588815,14247.27704832737
2017-04-22,11565.964229226538,10164.481340326027,13112.970918076517
2017-04-23,11154.819370153135,9719.917921605858,12689.003656564806
2017-04-24,12792.630813955599,11288.922442847343,14361.16499852205
2017-04-25,13060.0154808208,11540.910245951989,14618.538659187725
2017-04-26,13031.752762432381,11479.66616365884,14459.453584173318
